Kernel version:,6.7.0
F and D,supported
C,supported
V,NOT supported
Zba,supported
Zbb,supported
Zbs,supported
Zicboz,supported
Zbc,NOT supported
Zbkb,NOT supported
Zbkc,NOT supported
Zbkx,NOT supported
Zknd,NOT supported
Zkne,NOT supported
Zknh,NOT supported
Zksed,NOT supported
Zksh,NOT supported
Zkt,NOT supported
Zvbb,NOT supported
Zvbc,NOT supported
Zvkb,NOT supported
Zvkg,NOT supported
Zvkned,NOT supported
Zvknha,NOT supported
Zvknhb,NOT supported
Zvksed,NOT supported
Zvksh,NOT supported
Zvkt,NOT supported
Zfh,NOT supported
Zfhmin,NOT supported
Zihintntl,NOT supported
Zvfh,NOT supported
Zvfhmin,NOT supported
Zfa,NOT supported
Ztso,NOT supported
Zacas,NOT supported
Zicntr,NOT supported
Zicond,NOT supported
Zihintpause,NOT supported
Zihpm,NOT supported
Zve32x,NOT supported
Zve32f,NOT supported
Zve64x,NOT supported
Zve64f,NOT supported
Zfe64d,NOT supported
Zimop,NOT supported
Zca,NOT supported
Zcb,NOT supported
Zcd,NOT supported
Zcf,NOT supported
Zcmop,NOT supported
Zawrs,NOT supported
Zaamo,NOT supported
Zalrsc,NOT supported
Supm,NOT supported
Zfbfmin,NOT supported
Zvfbfmin,NOT supported
Zvfbfwma,NOT supported
Zicbom,NOT supported
Zabha,NOT supported
Zalasr,NOT supported
Zicbop,NOT supported
Zilsd,NOT supported
Zclsd,NOT supported
